 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
116.100.255.143 - - [16/Jul/2018 18:49:04] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [16/Jul/2018 18:49:06] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [16/Jul/2018 18:49:08] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [16/Jul/2018 18:49:09] "OPTIONS /api/question HTTP/1.1" 200 -
116.100.255.143 - - [16/Jul/2018 18:49:09] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [16/Jul/2018 18:49:10] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:43] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:44] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:48] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:48] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:50] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:51] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:52] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:54] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:54] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:50:55] "POST /api/question HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:08] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:08] "GET /api/question/greeting HTTP/1.1" 200 -
171.252.249.59 - - [16/Jul/2018 18:51:15] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
171.252.249.59 - - [16/Jul/2018 18:51:15] "GET /api/question/greeting HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:20] "OPTIONS /api/question HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:20] "POST /api/question HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:24] "POST /api/question HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:26] "OPTIONS /api/question HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:26] "POST /api/question HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:28] "POST /api/question HTTP/1.1" 200 -
115.74.44.77 - - [16/Jul/2018 18:51:30] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:51:50] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:51:50] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:51:55] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:51:55] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:52:03] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:52:04] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:52:24] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:52:24] "POST /api/question HTTP/1.1" 200 -
171.252.249.59 - - [16/Jul/2018 18:53:43] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
171.252.249.59 - - [16/Jul/2018 18:53:44] "GET /api/question/greeting HTTP/1.1" 200 -
